Норем тендеру,Дата публікації,Дата подачі пропозицій,Назва,Компанія,Контакти,Вартість,Посилання
2000615,Опубліковано: 23.01.2018,Прийом пропозицій до: 07.02.2018 17:00,ДК 021:2015-72411000-4 Постачальники інтернет-послуг (Послуги доступу до міжнародної комп’ютерної мережі ),"Державне підприємство ""СЕТАМ"" Міністерства юстиції України","Контактна особа
Глущенко Валерій Володимирович
380442239702
v.v.glushchenko@setam.net.ua
01025, Україна, Київська обл., Київ, вул.Стрілецька, 4-6
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/derzhavne-pdprimstvo-setam-mnsterstva-yustits-ukrani/",384 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3253465/
2032471,Опубліковано: 26.01.2018,Прийом пропозицій до: 12.02.2018 09:00,Послуги у сфері розвитку Інтернету  (підключення та надання доступу до мережі інтернет),Управління освіти Шевченківської районної в місті Києві державної адміністрації,"Контактна особа
Коваленко Леся Аркадіївна
380444890247
lkovalenko@meta.ua
04119, Україна, Київська обл., Київ,  м. Київ, вул. Зоологічна, 6-а
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/upravlnnya-osvti-shevchenkvsko-rayonno-v-mst-kiv-derzhavno-admnstrats/",1 880 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3307915/
2012902,Опубліковано: 24.01.2018,Прийом пропозицій до: 10.02.2018 18:00,Послуги Інтернет,"ДП ""Укрпошта Сумська дирекція""","Контактна особа
Валерія Юріївна Квач
+380503009421
yurydychnyj_viddil_sumy@ukrposhta.com
40003, Україна, Сумська обл., Суми, пл. Привокзальна, 5
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/dp-ukrposhta-sumska-direktsya/",1 101 600 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3273750/
2026721,Опубліковано: 26.01.2018,Прийом пропозицій до: 30.01.2018 08:00,Забезпечення безперервного Інтернет-зв'язку,Київська міська клінічна шкірно-венерологічна лікарня,"Контактна особа
Чередниченко Олена Юріївна
380444260712
kmkshvl@ukr.net
04655, Україна, Київська обл., Київ, Богатирська, 32
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/kivska-mska-klnchna-shkrnovenerologchna-lkarnya/",6 100 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3298203/
2019466,Опубліковано: 25.01.2018,Прийом пропозицій до: 30.01.2018 12:00,Послуги провайдерів,"Дитячий спеціалізований санаторій ""Ластівка""","Контактна особа
Поддубняк Світлана Валерівна
380677589799
ds_lastivka@ukr.net
04078, Україна, Київська обл., Київ, Дачно-Білицька, 28
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/dityachiy-spetsalzovaniy-sanatory-lastvka/",15 708 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3286178/
1997622,Опубліковано: 22.01.2018,Прийом пропозицій до: 30.01.2018 17:00,Інтернет-послуги,"ДП ""КГИВЦ""","Контактна особа
Полгородник Валерій Дмитрович
380442342025
kmioc@ukr.net
01030, Україна, Київська обл., Київ, Переулок Георгиевский , 9
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/dp-kgivts/",110 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3248444/
2018472,Опубліковано: 25.01.2018,Прийом пропозицій до: 01.02.2018 12:00,Доступ до мережі  Інтернет,Військово-цивільна адміністрація міста Торецьк Донецької області,"Контактна особа
Нємкова Олена Василівна
380502260586
Ankompromiss1976@gmail.com
Україна, Донецька обл., Торецьк (Дзержинск)
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/vyskovotsivlna-admnstratsya-msta-toretsk-donetsko-oblast/",19 137.63 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3284502/
1972181,Опубліковано: 17.01.2018,Прийом пропозицій до: 02.02.2018 17:00,Послуги зв’язку з Інтернетом,"Національний університет ""Львівська політехніка""","Контактна особа
Ковалишин Тарас Андрійович
380322582564
postach@polynet.lviv.ua
79013, Україна, Львівська обл., Львів,  м. Львів, вул. С. Бандери,12, корпус 13
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/natsonalniy-unversitet-lvvska-poltehnka/",600 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3206438/
2008406,Опубліковано: 23.01.2018,Прийом пропозицій до: 29.01.2018 21:59,Послуги мережі Інтернет.,Київський Палац дітей та юнацтва,"Контактна особа
Шапаренко Олександр Павлович
+380442808492
kpdu.dzo@i.ua
01010, Україна, Київська обл., Київ, Івана Мазепи 13
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/kivskiy-palats-dtey-ta-yunatstva/",55 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3266731/
2025308,Опубліковано: 25.01.2018,Прийом пропозицій до: 31.01.2018 17:00,Інтернет-послуги,"КОМУНАЛЬНИЙ ЗАКЛАД МАРІУПОЛЬСЬКОЇ МІСЬКОЇ РАДИ ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ №4 М.МАРІ","Контактна особа
Реутова Ольга Анатоліївна
380629408909
medcenter76@gmail.com
87517, Україна, Донецька обл., Маріуполь, г.Мариуполь, пр.Нахимова,35
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/komunalniy-zaklad-marupolsko-msko-radi-tsentr-pervinno-medikosantarno-dopomogi--mmar/",3 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3295810/
2028877,Опубліковано: 26.01.2018,Прийом пропозицій до: 30.01.2018 12:00,Надання послуг зв’язку з Інтернетом проводовими мережами,Автопідприємство Господарсько - фінансового департаменту Секретаріату Кабінету Міністрів України,"Контактна особа
Хоменко Тетяна Петрівна
380444864076
atp.n-ka@ukr.net
04053, Україна, Київська обл., Київ, вул. Некрасівська 7
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/avtopdprimstvo-gospodarsko--fnansovogo-departamentu-sekretaratu-kabnetu-mnstrv-ukrani/",11 460 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3301979/
